soc,freqhz,calc_ima,calc_rezohm,calc_imzohm,zohm,phasezdeg,temperaturec,cycle,zelle,calc_soc
250,201.98988,10000,0.0122909285,-0.00094611966,0.01232729,-4.40178,22.823967,5,JT_VTC_008,10
250,201.98988,10000,0.012212494,-0.0008509982,0.012242109,-3.9860744,22.412285,10,JT_VTC_008,10
250,201.98988,10000,0.0121658705,-0.00080112263,0.012192219,-3.767488,22.73688,15,JT_VTC_008,10
250,201.98988,10000,0.0121011585,-0.00075675186,0.012124797,-3.57836,22.744797,20,JT_VTC_008,10
250,201.98988,10000,0.012066177,-0.00072220905,0.012087772,-3.4252956,22.808132,25,JT_VTC_008,10
250,201.98988,10000,0.01215908,-0.0007817564,0.012184185,-3.6787143,23.09431,26,JT_VTC_008,10
250,201.98988,10000,0.01210293,-0.0007242481,0.01212458,-3.4245374,23.078495,30,JT_VTC_008,10
250,201.98988,10000,0.012077843,-0.00070844346,0.012098602,-3.356921,23.410587,35,JT_VTC_008,10
250,201.98988,10000,0.012039965,-0.00070024986,0.012060312,-3.3285987,23.32361,40,JT_VTC_008,10
250,201.98988,10000,0.012039464,-0.000692722,0.012059376,-3.293032,23.220821,45,JT_VTC_008,10
250,201.98988,10000,0.012015048,-0.0006763338,0.012034069,-3.2218113,23.608261,50,JT_VTC_008,10
375,201.98988,1250,0.012391215,-0.001140577,0.012443598,-5.259098,22.73688,0,JT_VTC_008,15
375,201.98988,1250,0.012208269,-0.00089149433,0.012240776,-4.1765428,22.823967,5,JT_VTC_008,15
375,201.98988,1250,0.0121156145,-0.00079242873,0.0121415015,-3.7421334,22.697296,10,JT_VTC_008,15
375,201.98988,1250,0.012041796,-0.0007574682,0.012065596,-3.5993493,22.689379,15,JT_VTC_008,15
375,201.98988,1250,0.011996679,-0.0007129337,0.012017844,-3.4009502,22.721045,20,JT_VTC_008,15
375,201.98988,1250,0.011991446,-0.00070160034,0.012011954,-3.3484669,22.73688,25,JT_VTC_008,15
375,201.98988,1250,0.012102526,-0.0007565028,0.012126146,-3.5767822,23.038961,26,JT_VTC_008,15
375,201.98988,1250,0.012046388,-0.0007167213,0.0120676905,-3.4049006,23.1971,30,JT_VTC_008,15
375,201.98988,1250,0.011998523,-0.0007020535,0.012019045,-3.348653,23.212915,35,JT_VTC_008,15
375,201.98988,1250,0.011952478,-0.0006907936,0.011972424,-3.307731,23.252449,40,JT_VTC_008,15
375,201.98988,1250,0.011955643,-0.0006747189,0.011974666,-3.2300715,23.14966,45,JT_VTC_008,15
375,201.98988,1250,0.011938131,-0.0006717405,0.011957016,-3.2205503,23.434309,50,JT_VTC_008,15
375,201.98988,2500,0.012365306,-0.0011298445,0.012416816,-5.2207413,22.689379,0,JT_VTC_008,15
375,201.98988,2500,0.012209293,-0.0008940131,0.012241982,-4.1879506,22.618126,5,JT_VTC_008,15
375,201.98988,2500,0.0121292705,-0.00079232093,0.012155121,-3.7374249,22.48354,10,JT_VTC_008,15
375,201.98988,2500,0.012047201,-0.00074255106,0.012070064,-3.527067,22.823967,15,JT_VTC_008,15
375,201.98988,2500,0.012006009,-0.0007134156,0.012027186,-3.4006052,22.800215,20,JT_VTC_008,15
375,201.98988,2500,0.011981107,-0.0006993597,0.012001501,-3.340671,22.831882,25,JT_VTC_008,15
375,201.98988,2500,0.012097352,-0.0007610864,0.01212127,-3.5999315,23.228727,26,JT_VTC_008,15
375,201.98988,2500,0.012029723,-0.0007094245,0.012050624,-3.374974,23.29989,30,JT_VTC_008,15
375,201.98988,2500,0.01201796,-0.00069425226,0.012037996,-3.3061821,23.1971,35,JT_VTC_008,15
375,201.98988,2500,0.011996936,-0.0006750461,0.012015913,-3.220535,23.27617,40,JT_VTC_008,15
375,201.98988,2500,0.011960356,-0.00068613695,0.01198002,-3.283323,23.14966,45,JT_VTC_008,15
375,201.98988,2500,0.011949441,-0.0006715479,0.011968296,-3.2165883,23.56082,50,JT_VTC_008,15
375,201.98988,5000,0.012360425,-0.0011239948,0.012411425,-5.195899,22.974388,0,JT_VTC_008,15
375,201.98988,5000,0.012173403,-0.00088197016,0.012205311,-4.1438723,22.792297,5,JT_VTC_008,15
375,201.98988,5000,0.0121185435,-0.00078134355,0.012143706,-3.6890416,22.602291,10,JT_VTC_008,15
375,201.98988,5000,0.012056764,-0.0007427008,0.012079618,-3.5249856,22.73688,15,JT_VTC_008,15
375,201.98988,5000,0.01201112,-0.00070227886,0.012031633,-3.3462207,22.705214,20,JT_VTC_008,15
375,201.98988,5000,0.011987905,-0.0006859813,0.012007516,-3.2750525,22.665628,25,JT_VTC_008,15
375,201.98988,5000,0.012057613,-0.0007471505,0.012080739,-3.545802,23.17338,26,JT_VTC_008,15
375,201.98988,5000,0.012022153,-0.0006977144,0.012042382,-3.3214767,23.252449,30,JT_VTC_008,15
375,201.98988,5000,0.011974759,-0.0006848827,0.011994329,-3.2734005,23.1971,35,JT_VTC_008,15
375,201.98988,5000,0.011949524,-0.0006811206,0.01196892,-3.2623186,23.260355,40,JT_VTC_008,15
375,201.98988,5000,0.011981326,-0.00067476596,0.012000312,-3.2233865,23.17338,45,JT_VTC_008,15
375,201.98988,5000,0.011967743,-0.000679123,0.011986996,-3.2478302,23.576633,50,JT_VTC_008,15
375,201.98988,7500,0.01237059,-0.0010983953,0.012419258,-5.0740347,22.918968,0,JT_VTC_008,15
375,201.98988,7500,0.012181998,-0.0008732038,0.012213253,-4.099941,22.823967,5,JT_VTC_008,15
375,201.98988,7500,0.012100917,-0.00077709055,0.012125843,-3.6743455,22.776464,10,JT_VTC_008,15
375,201.98988,7500,0.012028016,-0.00073275616,0.012050316,-3.486195,22.768547,15,JT_VTC_008,15
375,201.98988,7500,0.011994273,-0.00070347614,0.012014885,-3.3566093,22.752714,20,JT_VTC_008,15
375,201.98988,7500,0.011986233,-0.0006733886,0.0120051345,-3.2155063,23.006056,25,JT_VTC_008,15
375,201.98988,7500,0.0120586315,-0.0007307502,0.012080752,-3.4678698,23.1971,26,JT_VTC_008,15
375,201.98988,7500,0.012007949,-0.0007011327,0.012028401,-3.3416517,23.236635,30,JT_VTC_008,15
375,201.98988,7500,0.011992158,-0.00067897595,0.012011364,-3.2405317,23.228727,35,JT_VTC_008,15
375,201.98988,7500,0.01195667,-0.00066973845,0.011975413,-3.2060037,23.268263,40,JT_VTC_008,15
375,201.98988,7500,0.011941553,-0.0006699689,0.011960332,-3.2111561,23.189194,45,JT_VTC_008,15
375,201.98988,7500,0.011937954,-0.0006542054,0.011955867,-3.1366978,23.58454,50,JT_VTC_008,15
375,201.98988,10000,0.012340521,-0.0010737343,0.012387145,-4.9727154,22.8873,0,JT_VTC_008,15
375,201.98988,10000,0.01216739,-0.0008484393,0.012196936,-3.9888117,22.626043,5,JT_VTC_008,15
375,201.98988,10000,0.012085773,-0.0007707305,0.012110324,-3.648909,22.86355,10,JT_VTC_008,15
375,201.98988,10000,0.012037736,-0.0007233358,0.012059449,-3.4387126,22.570623,15,JT_VTC_008,15
375,201.98988,10000,0.011990704,-0.00068302144,0.012010141,-3.2601926,22.713129,20,JT_VTC_008,15
